Station1,Station2,Station3,Station4,Station5,Station6,Station7,Station8,Station9,Station10,Station11,Station12,Station13,Station14,Station15,Station16,Station17,Station18,Station19,Station20,Station21,Station22,Station23,Station24,Station25,Station26,Station27,Station28,Station29,Station30,Station32
5.5137902,5.4663612,5.478007833,5.45696095,5.476646783,5.495786083,5.45153955,5.47514615,5.490796067,5.461795067,5.420240317,5.43138025,5.42988355,5.439168767,5.493894933,5.522162267,5.5084665,5.434279167,5.470165333,5.482495433,5.494396,5.461636617,5.486370483,5.474596183,5.463118367,5.483514567,5.47661425,5.461344433,5.485028083,5.472314267,5.4708593
51.41804397,51.44780465,51.43686628,51.42988443,51.49152625,51.473617,51.43741025,51.47973493,51.42381008,51.42098222,51.4414297,51.41372312,51.48110338,51.49144293,51.4398486,51.44408308,51.4454083,51.4440142,51.43639115,51.43876203,51.42827067,51.46322227,51.45398415,51.43751235,51.3942763,51.41320682,51.45259908,51.4546708,51.45598575,51.46863008,51.43554587
14.66666667,19.33333333,19.5,18.83333333,15,14,17.66666667,12.66666667,14.16666667,14.5,19.83333333,16.83333333,19,19.33333333,12.33333333,18.5,18.83333333,19.16666667,15.16666667,16.16666667,14.5,19.66666667,17.5,15.66666667,11.6,16.33333333,15.83333333,16.5,19.83333333,14.33333333,19.16666667
14,20.5,21.33333333,17,15.16666667,13.83333333,17.16666667,13.16666667,15.5,14.33333333,19,18.33333333,18.16666667,18.66666667,14.16666667,19.5,19.16666667,19.83333333,14.83333333,17.66666667,14.66666667,19.83333333,18.5,15.16666667,10.25,16.33333333,15.83333333,17.33333333,19.83333333,15.5,19.5
15.5,20.83333333,21.33333333,16.83333333,16.33333333,16,17.66666667,13.16666667,16.33333333,14.66666667,17.66666667,17.33333333,18.16666667,20.16666667,13.83333333,19.5,20,19.33333333,16.5,18.33333333,15.83333333,20.66666667,19.16666667,16.16666667,10,16.16666667,16.16666667,17.33333333,21.66666667,16.83333333,20.5
16.5,21.16666667,21.5,18.33333333,16.33333333,16.5,19.5,15.16666667,15.83333333,16.16666667,18.83333333,16,18.66666667,22.5,14.5,21,20.66666667,20,18,19.16666667,15.5,23,20.83333333,17.16666667,11,16.5,17,18.83333333,21.66666667,17.83333333,21.83333333
16,22.83333333,22.33333333,19.16666667,18.33333333,17.4,19.16666667,15,16.5,16.5,20.83333333,18.66666667,20.83333333,21.83333333,15,22.66666667,21.16666667,21.83333333,18.16666667,19,16.33333333,22.83333333,20.33333333,18.16666667,12.66666667,19,17.33333333,20,22,19,23.16666667
16,27.16666667,25.16666667,20.33333333,19,18.5,22,15.5,18,17.66666667,21.16666667,20.33333333,21.16666667,22.66666667,16.66666667,23,22.5,22,19.16666667,19.16666667,16.83333333,24,21.83333333,18.5,12,18.66666667,21,20.16666667,23.5,19.33333333,24.33333333
18.33333333,23,23.5,20.66666667,19.33333333,20.5,21.66666667,15.83333333,18.5,17.16666667,22.66666667,22.16666667,21.33333333,23,18.66666667,22.5,23.5,23,18.16666667,19,19.33333333,24.5,22.16666667,20.33333333,12.66666667,22.83333333,20.16666667,20.5,23.66666667,18.66666667,23.83333333
19.16666667,23,24.5,19.5,19,20.66666667,20.16666667,15.16666667,18.83333333,17.5,21.33333333,22.5,20,21.33333333,17.5,24.66666667,24.5,21.33333333,19,20.33333333,19.16666667,23,22.16666667,19.33333333,14.83333333,22.66666667,19.83333333,20.16666667,22.66666667,18.5,23.5
18.4,20.16666667,21.66666667,17.16666667,17.83333333,18.66666667,20,14.16666667,17.66666667,16.5,19,18.5,17.33333333,19.33333333,16.33333333,20.5,21.66666667,20.66666667,16.5,18.5,17.16666667,21,20,17.5,14.16666667,21.83333333,20,18.33333333,21.5,17,22
