Station1,Station2,Station3,Station4,Station5,Station6,Station7,Station8,Station9,Station10,Station11,Station12,Station13,Station14,Station15,Station16,Station17,Station18,Station19,Station20,Station21,Station22,Station23,Station24,Station25,Station26,Station27,Station28,Station29,Station30,Station31,Station32
9.666666667,12.33333333,13,11,9.833333333,9.5,11.83333333,8.333333333,9.666666667,10.16666667,13,11.16666667,12,12.16666667,7.5,11.83333333,11.66666667,12.66666667,9.666666667,11,9.666666667,12.16666667,11.5,10.33333333,7.6,11.16666667,10,11,12.66666667,9.666666667,13.66666667,13.16666667
8.5,12.66666667,14,11,10,9.666666667,11.83333333,8.833333333,10.5,10,12.66666667,11.5,11.5,12.5,8.333333333,12.16666667,11.83333333,13,10,11.33333333,9.833333333,12.66666667,12,10.33333333,7.25,10.83333333,10.83333333,11.66666667,13.16666667,10.5,14,13.66666667
10.33333333,13.66666667,14.83333333,11.33333333,10.5,10.83333333,12.33333333,9.333333333,11,10.5,12.33333333,11.66666667,12,13.83333333,9,12.83333333,12.5,13.16666667,10.83333333,11.66666667,10.83333333,13.33333333,13,10.66666667,7.142857143,11.33333333,11,12.66666667,14.5,11.5,14.5,14.33333333
10.66666667,14.33333333,14.83333333,12.5,11,11.16666667,13.66666667,9.833333333,11.16666667,11,13.5,11.83333333,12.83333333,14.33333333,9.5,13.5,13.5,13.83333333,11.83333333,12.5,10.83333333,14.66666667,13.5,12,7.8,12.16666667,11.83333333,13,15,12,15.16666667,15.5
10.5,14.83333333,15.83333333,13.16666667,12,11.6,14,10.66666667,11.83333333,11.33333333,14.66666667,13.33333333,13.66666667,15.16666667,10.33333333,14.5,13.66666667,14.33333333,12.16666667,13.33333333,11.5,15.16666667,13.66666667,12.16666667,8.833333333,13.16666667,12.33333333,13.66666667,15.33333333,13,16,16.16666667
10.83333333,15.83333333,15.83333333,13.66666667,12.83333333,12.33333333,14.83333333,10.83333333,12.66666667,12,14.5,14.16666667,14,15.33333333,11.16666667,15,14.66666667,15,12.83333333,13.5,12.33333333,15,14,13,8.666666667,13.83333333,13.5,14.16666667,15.83333333,13,16.66666667,16.83333333
12.5,15,15.33333333,13.83333333,12,13,15,10.83333333,12.66666667,12.33333333,15,15,13.83333333,15.5,11.16666667,14.66666667,14.66666667,15,12.66666667,13.2,13.33333333,15.66666667,14.16666667,13.33333333,9.166666667,14.83333333,14,14.33333333,15.5,12.5,16.5,17
12.83333333,14.16666667,15,12.83333333,11.66666667,12.66666667,14.33333333,9.833333333,12.16666667,12.5,14.66666667,14.66666667,12.16666667,14.16666667,10.83333333,14.5,15,14,11.66666667,12.5,12.66666667,15,13.83333333,12.83333333,10.33333333,15.16666667,13,13.5,15.33333333,12.16666667,15.66666667,15.5
12,13.33333333,14.66666667,11.66666667,11.16666667,12.33333333,14.16666667,9,12,11.5,13.5,12.66666667,11.33333333,12.66666667,10.33333333,13.5,13.66666667,13,10.83333333,12.16666667,11.66666667,14.16666667,12.5,11.83333333,9.5,14.5,12.33333333,12.5,14.66666667,11,14.66666667,15.16666667
10.16666667,11.83333333,12,9.833333333,10.16666667,11.16666667,11.83333333,8,10.33333333,10.16666667,11.16666667,11.16666667,10,11.16666667,8.833333333,11.66666667,11.66666667,12.16666667,10.16666667,10.33333333,10,12,11,10.33333333,7.833333333,12,11,11.33333333,12.16666667,9.5,12.83333333,13.66666667
9,11.33333333,11.5,9,9.5,10,11.16666667,7.166666667,10,9.833333333,10,11,9.333333333,10.33333333,9.2,11,10.5,11.16666667,9.166666667,10,8.833333333,11.66666667,10.16666667,8.833333333,7.166666667,11.83333333,10.33333333,10.83333333,11.16666667,9,12.33333333,12.33333333
8.833333333,11,10.5,8.666666667,9,9.666666667,10.5,7,9.5,8.833333333,10,10.66666667,9,9.833333333,7.666666667,11.16666667,9.833333333,10.83333333,8.5,8.833333333,9.166666667,10.16666667,10.16666667,8,6.833333333,10.33333333,9.833333333,10.33333333,11,9,11.66666667,11.16666667
7.333333333,9.5,8.833333333,7.5,7.666666667,8.333333333,8.833333333,5.833333333,8.166666667,6.833333333,8.333333333,8.666666667,8.166666667,8.833333333,6.166666667,9.333333333,8,9.5,7.166666667,7.666666667,7.833333333,8.666666667,8.333333333,7.166666667,5.333333333,9,8.333333333,9.166666667,9.5,7.833333333,10,9.333333333
5.333333333,7.5,7,5.833333333,5.5,6.166666667,7.166666667,4.166666667,6.333333333,5.333333333,6.5,6,6.166666667,6.5,5,6.5,6,7.666666667,5.5,6.166666667,6.166666667,7.166666667,6.166666667,5.333333333,4.5,6.833333333,6.5,7.333333333,7,5.666666667,8,7.333333333
5,7.166666667,6.833333333,5.166666667,5,6,6.833333333,4,5.833333333,5,6.333333333,6,5.166666667,6,4.666666667,6.166666667,5.666666667,7.166666667,5.166666667,5.666666667,5.5,6.833333333,6,5.5,4,6,6,7,6.333333333,5.5,7.833333333,6.833333333
5,7,7,5.166666667,5,6,6.666666667,4,6,5.166666667,6.166666667,6,5.166666667,5.833333333,4.333333333,6.166666667,6.166666667,7.333333333,5,5.666666667,5.5,7.5,6,5.333333333,4,6.166666667,6,6.666666667,6.333333333,5.5,7.333333333,6.833333333
5,7.833333333,7.666666667,6.5,5.5,6.833333333,7.5,4.333333333,6.5,7,7,5.666666667,5.333333333,8.333333333,4.5,7.5,8.166666667,8.333333333,5.833333333,6.5,5.833333333,7.833333333,6.166666667,6.333333333,4,6.5,6.166666667,7.666666667,7.166666667,6,8.166666667,7.5
6.166666667,9.166666667,9.5,7.333333333,7.166666667,7.5,8.5,5.5,8.666666667,6.833333333,8.5,6.666666667,6.833333333,9.166666667,5.5,8.5,10,9.333333333,7.5,8.333333333,6.833333333,9,8,7.166666667,4.166666667,7,6.833333333,8.833333333,8.833333333,7.333333333,9.833333333,10
